algorithm,input,n,time_ms,comparisons,max_depth
mergeSort,random,1000,0.089,9528,8
mergeSort,sorted,1000,0.041,4236,8
mergeSort,duplicates,1000,0.063,9092,8
quickSort,random,1000,0.132,16436,7
quickSort,sorted,1000,0.097,20978,6
quickSort,duplicates,1000,0.025,6026,2
quickSelect,random,1000,0.117,3308,0
quickSelect,sorted,1000,0.118,4341,0
quickSelect,duplicates,1000,0.077,4687,0
mergeSort,random,10000,1.622,126799,11
mergeSort,sorted,10000,0.275,59248,11
mergeSort,duplicates,10000,0.374,121544,11
quickSort,random,10000,0.640,249781,8
quickSort,sorted,10000,0.369,236743,9
quickSort,duplicates,10000,0.118,51867,2
quickSelect,random,10000,0.228,39563,0
quickSelect,sorted,10000,0.152,49182,0
quickSelect,duplicates,10000,0.204,44943,0
mergeSort,random,100000,7.331,1638884,14
mergeSort,sorted,100000,1.955,744016,14
mergeSort,duplicates,100000,4.154,1563040,14
quickSort,random,100000,7.549,3313484,11
quickSort,sorted,100000,3.969,3101934,12
quickSort,duplicates,100000,1.176,560002,2
quickSelect,random,100000,0.929,506286,0
quickSelect,sorted,100000,0.285,484485,0
quickSelect,duplicates,100000,0.891,409859,0
mergeSort,random,1000000,90.560,19887971,18
mergeSort,sorted,1000000,23.249,9071040,18
mergeSort,duplicates,1000000,45.640,18920441,18
quickSort,random,1000000,86.558,39247244,14
quickSort,sorted,1000000,42.503,37260612,13
quickSort,duplicates,1000000,11.273,6499597,3
quickSelect,random,1000000,8.719,3478350,0
quickSelect,sorted,1000000,2.919,5102905,0
quickSelect,duplicates,1000000,8.522,4304084,0
